GEO.id,GEO.id2,GEO.display-label,total_households,total_households_moe,total_households_perc,ancestry_hungarian,ancestry_hungarian_moe,ancestry_hungarian_perc,ancestry_hungarian_perc-moe
1400000US39095000200,39095000200,"Census Tract 2, Lucas County, Ohio",1709,95,1709,157,136,3.5,2.9
1400000US39095000300,39095000300,"Census Tract 3, Lucas County, Ohio",1949,153,1949,46,44,0.9,0.9
1400000US39095000400,39095000400,"Census Tract 4, Lucas County, Ohio",1259,127,1259,106,105,3.1,3
1400000US39095000600,39095000600,"Census Tract 6, Lucas County, Ohio",1804,91,1804,92,102,1.8,2
1400000US39095000700,39095000700,"Census Tract 7, Lucas County, Ohio",2098,157,2098,266,192,5,3.5
1400000US39095000800,39095000800,"Census Tract 8, Lucas County, Ohio",600,100,600,0,11,0,2.2
1400000US39095000900,39095000900,"Census Tract 9, Lucas County, Ohio",1058,102,1058,0,11,0,1.1
1400000US39095001000,39095001000,"Census Tract 10, Lucas County, Ohio",1569,115,1569,14,22,0.4,0.6
1400000US39095001100,39095001100,"Census Tract 11, Lucas County, Ohio",961,112,961,11,17,0.3,0.5
1400000US39095001201,39095001201,"Census Tract 12.01, Lucas County, Ohio",924,69,924,61,47,2.5,2
1400000US39095001202,39095001202,"Census Tract 12.02, Lucas County, Ohio",719,82,719,33,60,1.6,2.8
1400000US39095001301,39095001301,"Census Tract 13.01, Lucas County, Ohio",1176,47,1176,51,52,2,2
1400000US39095001302,39095001302,"Census Tract 13.02, Lucas County, Ohio",1045,85,1045,111,147,5.4,7
1400000US39095001303,39095001303,"Census Tract 13.03, Lucas County, Ohio",1328,105,1328,8,14,0.3,0.5
1400000US39095001400,39095001400,"Census Tract 14, Lucas County, Ohio",730,89,730,20,33,1.3,2.1
1400000US39095001500,39095001500,"Census Tract 15, Lucas County, Ohio",638,77,638,0,11,0,2.1
1400000US39095001600,39095001600,"Census Tract 16, Lucas County, Ohio",1183,120,1183,10,17,0.3,0.6
1400000US39095001700,39095001700,"Census Tract 17, Lucas County, Ohio",558,82,558,45,34,2.6,2.1
1400000US39095001800,39095001800,"Census Tract 18, Lucas County, Ohio",916,109,916,0,11,0,1.2
1400000US39095001900,39095001900,"Census Tract 19, Lucas County, Ohio",666,75,666,38,50,2.1,2.7
