GEO.id,GEO.id2,tot_hung,moet_hung,perc_hung,moep_hung
1400000US39095000200,39095000200,157,136,3.5,2.9
1400000US39095000300,39095000300,46,44,0.9,0.9
1400000US39095000400,39095000400,106,105,3.1,3
1400000US39095000600,39095000600,92,102,1.8,2
1400000US39095000700,39095000700,266,192,5,3.5
1400000US39095000800,39095000800,0,11,0,2.2
1400000US39095000900,39095000900,0,11,0,1.1
1400000US39095001000,39095001000,14,22,0.4,0.6
1400000US39095001100,39095001100,11,17,0.3,0.5
1400000US39095001201,39095001201,61,47,2.5,2
1400000US39095001202,39095001202,33,60,1.6,2.8
1400000US39095001301,39095001301,51,52,2,2
1400000US39095001302,39095001302,111,147,5.4,7
1400000US39095001303,39095001303,8,14,0.3,0.5
1400000US39095001400,39095001400,20,33,1.3,2.1
1400000US39095001500,39095001500,0,11,0,2.1
1400000US39095001600,39095001600,10,17,0.3,0.6
1400000US39095001700,39095001700,45,34,2.6,2.1
1400000US39095001800,39095001800,0,11,0,1.2
1400000US39095001900,39095001900,38,50,2.1,2.7
1400000US39095002000,39095002000,6,9,0.3,0.5
1400000US39095002100,39095002100,17,21,0.6,0.7
1400000US39095002200,39095002200,8,14,0.4,0.8
1400000US39095002300,39095002300,18,25,1.2,1.6
1400000US39095002401,39095002401,18,20,0.5,0.6
1400000US39095002402,39095002402,0,11,0,1.6
1400000US39095002500,39095002500,0,11,0,1.3
1400000US39095002600,39095002600,0,11,0,2.4
1400000US39095002700,39095002700,14,18,1.6,2.2
1400000US39095002800,39095002800,20,25,1.7,2.2
1400000US39095002900,39095002900,14,17,1,1.2
1400000US39095003000,39095003000,27,43,1.4,2.3
1400000US39095003100,39095003100,0,11,0,3.2
1400000US39095003200,39095003200,0,11,0,2.2
1400000US39095003300,39095003300,0,11,0,1.6
1400000US39095003400,39095003400,0,11,0,3.8
1400000US39095003500,39095003500,0,11,0,1.6
1400000US39095003600,39095003600,0,11,0,2.2
1400000US39095003700,39095003700,0,11,0,2.3
1400000US39095003900,39095003900,24,39,0.5,0.8
1400000US39095004000,39095004000,0,11,0,1.3
1400000US39095004200,39095004200,0,11,0,1.8
1400000US39095004400,39095004400,40,51,0.9,1.2
1400000US39095004501,39095004501,0,11,0,1
1400000US39095004503,39095004503,72,49,2.7,1.9
1400000US39095004504,39095004504,97,53,2.7,1.5
1400000US39095004600,39095004600,320,165,11,5.8
1400000US39095004701,39095004701,175,92,6.3,3.1
1400000US39095004702,39095004702,413,379,10.4,9.1
1400000US39095004800,39095004800,19,29,0.6,0.9
1400000US39095004900,39095004900,18,20,0.6,0.7
1400000US39095005000,39095005000,44,31,2.3,1.6
1400000US39095005100,39095005100,167,100,3.5,2
1400000US39095005200,39095005200,235,181,6.4,5.1
1400000US39095005300,39095005300,28,36,1.3,1.7
1400000US39095005400,39095005400,11,21,0.3,0.7
1400000US39095005501,39095005501,48,33,1.7,1.2
1400000US39095005502,39095005502,137,114,4.4,3.5
1400000US39095005503,39095005503,124,86,5.6,3.9
1400000US39095005600,39095005600,143,117,2.4,2
1400000US39095005701,39095005701,32,36,0.9,1
1400000US39095005702,39095005702,48,44,0.9,0.9
1400000US39095005703,39095005703,37,36,1.6,1.5
1400000US39095005801,39095005801,22,22,0.6,0.6
1400000US39095005802,39095005802,128,94,2.8,2.1
1400000US39095005901,39095005901,95,111,3.6,4.1
1400000US39095005902,39095005902,163,201,3.8,4.6
1400000US39095006000,39095006000,27,31,1,1.2
1400000US39095006100,39095006100,92,78,2.9,2.4
1400000US39095006200,39095006200,91,57,3.3,2.1
1400000US39095006300,39095006300,51,46,1.6,1.5
1400000US39095006400,39095006400,199,100,9,4.5
1400000US39095006500,39095006500,17,21,0.8,0.9
1400000US39095006600,39095006600,0,11,0,1
1400000US39095006700,39095006700,0,11,0,1.9
1400000US39095006800,39095006800,176,145,3.5,2.9
1400000US39095006900,39095006900,61,48,2.4,1.9
1400000US39095007001,39095007001,131,116,3.4,2.9
1400000US39095007002,39095007002,29,21,1.4,1
1400000US39095007101,39095007101,227,122,5,2.7
1400000US39095007102,39095007102,125,90,3.3,2.4
1400000US39095007202,39095007202,11,16,0.3,0.4
1400000US39095007203,39095007203,84,55,2,1.3
1400000US39095007204,39095007204,152,100,3.5,2.3
1400000US39095007205,39095007205,155,115,2.6,2
1400000US39095007301,39095007301,21,30,0.5,0.7
1400000US39095007302,39095007302,6,9,0.2,0.3
1400000US39095007303,39095007303,12,20,0.2,0.4
1400000US39095007400,39095007400,27,29,0.5,0.5
1400000US39095007500,39095007500,120,95,2.9,2.4
1400000US39095007600,39095007600,183,148,4,3.2
1400000US39095007700,39095007700,245,159,7,4.5
1400000US39095007800,39095007800,39,27,0.9,0.7
1400000US39095007901,39095007901,42,44,2.2,2.3
1400000US39095007902,39095007902,84,72,1.5,1.3
1400000US39095008000,39095008000,76,43,1.8,1
1400000US39095008100,39095008100,107,71,2.6,1.7
1400000US39095008201,39095008201,221,105,4.6,2.2
1400000US39095008202,39095008202,157,131,2.7,2.2
1400000US39095008203,39095008203,103,102,1.4,1.4
1400000US39095008301,39095008301,74,54,1.3,0.9
1400000US39095008302,39095008302,71,66,4.3,4.1
1400000US39095008400,39095008400,150,170,3.3,3.6
1400000US39095008500,39095008500,203,155,5.3,4
1400000US39095008600,39095008600,81,68,1.5,1.3
1400000US39095008700,39095008700,108,67,1.3,0.8
1400000US39095008800,39095008800,173,127,2.3,1.7
1400000US39095008901,39095008901,287,134,5.6,2.6
1400000US39095008902,39095008902,128,137,2.1,2.2
1400000US39095009000,39095009000,799,424,6.6,3.5
1400000US39095009101,39095009101,65,58,1.7,1.5
1400000US39095009102,39095009102,123,69,2.4,1.3
1400000US39095009201,39095009201,192,133,2.3,1.6
1400000US39095009202,39095009202,139,87,1.9,1.2
1400000US39095009300,39095009300,47,38,2.6,2.2
1400000US39095009400,39095009400,6,9,0.3,0.4
1400000US39095009500,39095009500,57,51,1.9,1.7
1400000US39095009600,39095009600,47,47,1.4,1.4
1400000US39095009700,39095009700,257,112,8.3,3.6
1400000US39095009800,39095009800,432,154,9.9,3.5
1400000US39095009900,39095009900,499,189,10.7,4.2
1400000US39095010001,39095010001,399,192,10,4.8
1400000US39095010002,39095010002,133,67,4.1,2.1
1400000US39095010100,39095010100,529,208,12.6,4.9
1400000US39095010200,39095010200,38,26,1.5,1.1
1400000US39095010300,39095010300,39,50,1.6,2.2
1400000US39095010400,39095010400,103,54,3.3,1.7
1400000US39095990000,39095990000,0,11,-,**
